\\Bb1,bb2,bb3,bb4,bb5,h1,h2,h3,h4,h5,p1,p2,p3,p4,p5]
103,5,96,18,1,299,234,6,1,229,49,56,69,142,65]
131,0,15,3,1,95,366,3,83,54,77,240,73,81,166]
48,90,81,118,109,101,116,107,80,42,79,137,143,46,96]
4,2,100,6,3,556,602,4,1,111,3,0,4,2,1]
143,88,183,237,68,85,35,198,21,143,40,39,62,18,41]
98,27,133,62,48,69,63,68,75,82,168,144,185,128,68]
175,92,314,82,45,23,9,65,57,33,130,151,142,52,60]
218,0,305,2,0,5,10,22,15,11,167,193,126,281,98]
161,88,499,151,88,20,15,47,22,115,52,64,53,26,62]
26,41,115,118,65,14,6,954,17,10,18,17,22,33,9]
40,37,70,59,64,71,73,17,172,114,276,125,193,30,137]
15,0,246,1,2,11,32,1,31,140,427,65,238,64,214]
16,7,33,9,2,408,163,69,7,726,4,19,16,7,5]
203,3,37,4,6,51,298,1,232,22,96,269,63,91,134]
14,96,3,107,241,1,2,1005,29,6,2,6,2,3,3]
57,124,33,122,148,61,124,134,223,59,119,160,98,74,92]
97,112,43,193,116,85,196,94,179,63,94,160,61,75,62]
142,134,228,241,130,57,18,239,38,86,42,23,26,208,35]
22,77,26,68,8,156,75,82,0,222,136,90,73,424,251]
244,42,148,10,7,48,51,13,1,81,58,58,56,772,177]
44,123,110,301,146,82,41,97,275,153,63,90,96,40,138]
141,14,45,47,18,35,32,9,4,109,4,79,45,1150,107]
113,203,54,268,446,98,102,150,103,100,39,57,56,39,19]
83,90,185,90,217,4,4,421,30,5,210,140,235,56,244]
83,27,146,41,26,276,163,27,53,448,377,115,150,60,55]
93,151,160,180,163,11,18,150,378,7,327,148,177,36,63]
53,191,105,419,201,77,40,639,35,114,56,59,62,84,73]
59,343,55,509,338,32,15,530,120,68,109,66,39,19,18]
47,167,256,163,363,20,20,690,25,29,34,69,30,239,195]
70,271,191,637,201,90,43,328,48,219,87,48,71,53,48]
65,312,112,514,362,22,23,369,84,40,93,130,216,31,88]
270,185,183,311,299,30,36,572,129,90,135,93,67,31,37]
73,122,116,30,32,305,184,14,27,1354,9,45,21,87,103]
827,19,161,27,14,188,272,77,48,271,20,71,30,403,126]
190,72,76,129,87,67,207,29,673,40,181,332,154,187,167]
59,241,82,350,339,59,73,977,176,68,76,56,50,46,29]
109,241,499,279,174,118,214,175,208,24,160,156,176,78,85]
115,144,237,208,149,229,147,179,172,174,477,167,100,68,131]
701,4,1236,7,4,64,56,0,11,56,86,173,127,68,110]
236,35,81,37,20,225,329,10,51,712,104,220,69,419,170]
33,124,20,74,41,991,459,39,6,708,16,17,15,177,43]
95,113,71,217,74,680,408,97,29,547,22,28,23,354,45]
123,403,277,733,381,4,15,179,147,15,60,149,192,19,126]
29,271,45,444,393,21,25,1110,145,30,103,62,57,64,107]
73,316,216,714,394,28,8,517,282,23,33,111,129,22,56]
77,193,284,429,254,108,83,282,289,156,130,114,256,136,134]
248,185,608,577,234,11,19,373,73,33,245,108,107,36,90]
73,82,50,115,49,301,158,70,414,835,211,78,92,162,260]
4,10,8,50,5,711,401,26,7,1766,1,10,3,4,4]
5,1,2994,2,1,3,2,7,2,3,2,2,14,1,2]
42,210,136,102,774,23,11,1719,33,69,15,5,2,7,12]
303,426,126,401,499,48,110,388,315,97,110,176,79,41,81]
186,240,96,325,258,70,147,215,797,58,190,264,232,95,149]
